Gene1,Gene2,Count
OXA-66,pilE,1
OXA-66,AAC(6')-Iaf,1
OXA-66,(Bla)blaADC-25,1
OXA-66,smeF-BAC0360,1
OXA-66,ydeP-BAC0438,1
OXA-66,tet(B),1
OXA-66,adeH,1
OXA-66,pbpG,1
OXA-66,gspN,1
OXA-66,ADC-31,1
OXA-66,adeF-BAC0014,1
OXA-66,lpxD,1
OXA-66,ABAF,1
OXA-66,mphE,1
OXA-66,arsC-BAC0584,1
OXA-66,msrE,1
OXA-66,ACICU_RS00400,1
OXA-66,basI,1
OXA-66,ADET2,1
OXA-66,pilG,1
OXA-66,(AGly)ant(3'')-IIa,1
OXA-66,ACICU_RS16840,1
OXA-66,pseB,1
OXA-66,ANT3-DPRIME,1
OXA-66,abaR,1
OXA-66,merA-BAC0651,1
OXA-66,gspE2,1
OXA-66,gspK,1
OXA-66,aac(6')-Iaf_1,1
OXA-66,pilP,1
OXA-66,Acinetobacter_baumannii_AmvA,1
OXA-66,adeI,1
OXA-66,clpV/tssH,1
OXA-66,ADEG,1
OXA-66,fabK-BAC0157,1
OXA-66,frnE-BAC0170,1
OXA-66,(AGly)aph(3'')-Ia,1
OXA-66,gspF,1
OXA-66,ADES,1
OXA-66,mexK-BAC0242,1
OXA-66,(Bla)Zn-dependent_hydrolase,1
OXA-66,lmrS-BAC0535,1
OXA-66,pilU,1
OXA-66,pilH,1
OXA-66,baeR-BAC0039,1
OXA-66,pilS,1
OXA-66,pilO,1
OXA-66,modB-BAC0610,1
OXA-66,mdtN/yjcR-BAC0220,1
OXA-66,ANT(3'')-IIa,1
OXA-66,ABES,1
OXA-66,pseF,1
OXA-66,fpvA-BAC0169,1
OXA-66,ruvB-BAC0355,1
OXA-66,adeI-BAC0017,1
OXA-66,galU,1
OXA-66,sul1_5,1
OXA-66,adeH-BAC0016,1
OXA-66,pcoA-BAC0303,1
OXA-66,pseH,1
OXA-66,basG,1
OXA-66,tssK,1
OXA-66,blaTEM-1,1
OXA-66,csuE,1
OXA-66,bfrA-BAC0048,1
OXA-66,nikD-BAC0273,1
OXA-66,ADEN,1
OXA-66,pilN,1
OXA-66,gspI,1
OXA-66,sugE-BAC0378,1
OXA-66,adeB,1
OXA-66,tssB,1
OXA-66,basJ,1
OXA-66,pilQ,1
OXA-66,qacEdelta1-BAC0323,1
OXA-66,znuB/yebI-BAC0464,1
OXA-66,pbrR-BAC0301,1
OXA-66,lpxB,1
OXA-66,aph(6)-Id_1,1
OXA-66,(Phe)catB8,1
OXA-66,hcp/tssD,1
OXA-66,vceB-BAC0419,1
OXA-66,dsbC-BAC0138,1
OXA-66,barB,1
OXA-66,aph(6)-Id,1
OXA-66,merR-BAC0689,1
OXA-66,armA,1
OXA-66,merT,1
OXA-66,adeG,1
OXA-66,sitB-BAC0350,1
OXA-66,pgaB,1
OXA-66,mph(E),1
OXA-66,ADEH,1
OXA-66,pgaD,1
OXA-66,BLAA,1
OXA-66,APH6,1
OXA-66,adeS,1
OXA-66,merT-BAC0695,1
OXA-66,pilR,1
OXA-66,czcD-BAC0122,1
OXA-66,vgrG/tssI,1
OXA-66,adeR,1
OXA-66,ABAQ,1
OXA-66,adeG-BAC0015,1
OXA-66,entE,1
OXA-66,pilB,1
OXA-66,lpxM,1
OXA-66,acn-BAC0003,1
OXA-66,adeN-BAC0496,1
OXA-66,comR/ycfQ-BAC0076,1
OXA-66,(AGly)strA,1
OXA-66,bauD,1
OXA-66,ruvB-BAC0293,1
OXA-66,merP-BAC0678,1
OXA-66,parC_E88K,1
OXA-66,adeB-BAC0472,1
OXA-66,adeC-BAC0473,1
OXA-66,cxpE,1
OXA-66,amvA-BAC0025,1
OXA-66,APH3-DPRIME,1
OXA-66,bcr-BAC0041,1
OXA-66,APH(6)-Id,1
OXA-66,emrBsm-BAC0500,1
OXA-66,(AGly)armA,1
OXA-66,basD,1
OXA-66,pmrC-BAC0485,1
OXA-66,ADER,1
OXA-66,merR,1
OXA-66,lpsB,1
OXA-66,TETB,1
OXA-66,ACICU_RS00405,1
OXA-66,bauF,1
OXA-66,adeE-BAC0013,1
OXA-66,pilY1,1
OXA-66,mgtA-BAC0642,1
OXA-66,nikB-BAC0271,1
OXA-66,pitA-BAC0312,1
OXA-66,tssG,1
OXA-66,aac(6')-Ip,1
adeT2-BAC0479,msr(E)_1,1
adeT2-BAC0479,merA-BAC0652,1
adeT2-BAC0479,bauE,1
adeT2-BAC0479,adeC,1
adeT2-BAC0479,tssM,1
adeT2-BAC0479,merD,1
adeT2-BAC0479,gspE1,1
adeT2-BAC0479,fecE-BAC0164,1
adeT2-BAC0479,pgaA,1
adeT2-BAC0479,SULI,1
adeT2-BAC0479,ARMA,1
adeT2-BAC0479,pilJ,1
adeT2-BAC0479,blaOXA-23,1
adeT2-BAC0479,mdfA/cmr-BAC0208,1
adeT2-BAC0479,pilA,1
adeT2-BAC0479,aadA,1
adeT2-BAC0479,tet(B)_1,1
adeT2-BAC0479,hmrR-BAC0190,1
adeT2-BAC0479,sul1,1
adeT2-BAC0479,galE,1
adeT2-BAC0479,(AGly)strB,1
adeT2-BAC0479,soxR-BAC0370,1
adeT2-BAC0479,fecD-BAC0163,1
adeT2-BAC0479,ADEA,1
adeT2-BAC0479,ADET1,1
adeT2-BAC0479,MPHE,1
adeT2-BAC0479,nreB,1
adeT2-BAC0479,basC,1
adeT2-BAC0479,pilC,1
adeT2-BAC0479,mph(E)_1,1
adeT2-BAC0479,APH(3'')-Ib,1
adeT2-BAC0479,ACICU_RS00395,1
adeT2-BAC0479,ADEL,1
adeT2-BAC0479,adeA-BAC0471,1
adeT2-BAC0479,fimU,1
