Gene1,Gene2,Count
adeK-BAC0019,galE,1
adeK-BAC0019,basC,1
adeK-BAC0019,sodB-BAC0706,1
adeK-BAC0019,TETB,1
adeK-BAC0019,plcD,1
adeK-BAC0019,mdfA/cmr-BAC0208,1
adeK-BAC0019,catB8_1,1
adeK-BAC0019,hcp/tssD,1
adeK-BAC0019,tssM,1
adeK-BAC0019,APH(3'')-Ib,1
adeK-BAC0019,cpxR-BAC0533,1
adeK-BAC0019,czcA-BAC0119,1
adeK-BAC0019,modB-BAC0599,1
adeK-BAC0019,mexK-BAC0242,1
adeK-BAC0019,znuB/yebI-BAC0464,1
adeK-BAC0019,lpxL,1
adeK-BAC0019,tssK,1
adeK-BAC0019,bcr-BAC0041,1
adeK-BAC0019,blaTEM-12,1
adeK-BAC0019,czcR-BAC0125,1
adeK-BAC0019,mexT-BAC0244,1
adeK-BAC0019,pilF,1
adeK-BAC0019,plc2,1
adeK-BAC0019,ACICU_RS00500,1
adeK-BAC0019,corR-BAC0089,1
adeK-BAC0019,abuO-BAC0758,1
adeK-BAC0019,fptA-BAC0168,1
adeK-BAC0019,ADEH,1
adeK-BAC0019,gspE1,1
adeK-BAC0019,ostA/lptD-BAC0296,1
adeK-BAC0019,mdtN/yjcR-BAC0220,1
adeK-BAC0019,fecD-BAC0163,1
adeK-BAC0019,corC-BAC0088,1
adeK-BAC0019,emrBsm-BAC0500,1
adeK-BAC0019,cutE/lnt-BAC0115,1
adeK-BAC0019,tssB,1
adeK-BAC0019,recG-BAC0356,1
adeK-BAC0019,pilW,1
adeK-BAC0019,ant(3'')-IIa,1
adeK-BAC0019,golT-BAC0183,1
adeK-BAC0019,ADC-31,1
adeK-BAC0019,ADEK,1
adeK-BAC0019,strA,1
adeK-BAC0019,aacA16,1
adeK-BAC0019,tssG,1
adeK-BAC0019,merA-BAC0651,1
adeK-BAC0019,pmrB-BAC0488,1
adeK-BAC0019,yddg/emrE-BAC0435,1
adeK-BAC0019,nikB-BAC0271,1
adeK-BAC0019,abaI,1
adeK-BAC0019,adeH,1
adeK-BAC0019,galE-BAC0755,1
adeK-BAC0019,blaADC-25,1
adeK-BAC0019,fabK-BAC0157,1
adeK-BAC0019,adeI-BAC0017,1
adeK-BAC0019,abaF,1
adeK-BAC0019,tsaP,1
adeK-BAC0019,basB,1
adeK-BAC0019,Zn-dependent_hydrolase,1
adeK-BAC0019,nikD-BAC0273,1
adeK-BAC0019,adeB,1
adeK-BAC0019,gspD,1
adeK-BAC0019,basA,1
adeK-BAC0019,ADEN,1
adeK-BAC0019,mph(E),1
adeK-BAC0019,ADET1,1
adeK-BAC0019,adeJ,1
adeK-BAC0019,msr(E),1
adeK-BAC0019,aadA1-pm,1
adeK-BAC0019,plc1,1
adeK-BAC0019,Acinetobacter_baumannii_AbaQ,1
adeK-BAC0019,Acinetobacter_baumannii_AmvA,1
adeK-BAC0019,gspL,1
adeK-BAC0019,ANT3-DPRIME,1
adeK-BAC0019,ABAF,1
adeK-BAC0019,Mbl,1
adeK-BAC0019,qacEdelta1,1
adeK-BAC0019,copR-BAC0719,1
adeK-BAC0019,adeA-BAC0471,1
adeK-BAC0019,tssF,1
adeK-BAC0019,frnE-BAC0170,1
adeK-BAC0019,zraR/hydH-BAC0467,1
adeK-BAC0019,ADEG,1
adeK-BAC0019,bauD,1
adeK-BAC0019,pgi,1
adeK-BAC0019,ADEJ,1
adeK-BAC0019,pseG,1
adeK-BAC0019,lpxB,1
adeK-BAC0019,BlaA1,1
adeK-BAC0019,adeN,1
adeK-BAC0019,pseC,1
adeK-BAC0019,ant(3'')-Ia_1,1
adeK-BAC0019,bfrA-BAC0048,1
adeK-BAC0019,aac6-Iaf,1
adeK-BAC0019,adeR,1
adeK-BAC0019,TEM-12,1
adeK-BAC0019,mdeA-BAC0207,1
adeK-BAC0019,sitB-BAC0350,1
adeK-BAC0019,merP,1
adeK-BAC0019,barB,1
adeK-BAC0019,aph(6)-Id,1
adeK-BAC0019,hefC-BAC0188,1
adeK-BAC0019,pstB-BAC0316,1
adeK-BAC0019,tssE,1
adeK-BAC0019,bauE,1
adeK-BAC0019,pilR,1
adeK-BAC0019,G2alt-BAC0490,1
adeK-BAC0019,gspE2,1
adeK-BAC0019,gspH,1
adeK-BAC0019,tet(B)_1,1
adeK-BAC0019,comR/ycfQ-BAC0076,1
adeK-BAC0019,ACICU_RS04610,1
adeK-BAC0019,sugE-BAC0378,1
adeK-BAC0019,aph(3')-Ia,1
adeK-BAC0019,tagX,1
adeK-BAC0019,pilQ,1
adeK-BAC0019,ompA,1
adeK-BAC0019,adeG,1
adeK-BAC0019,czcD-BAC0122,1
adeK-BAC0019,pilS,1
adeK-BAC0019,baeR-BAC0039,1
adeK-BAC0019,lpxC,1
adeK-BAC0019,pilV,1
adeK-BAC0019,merP-BAC0678,1
